episode,timestep,reward
1,800,-239.6508
3,1600,-213.6333
5,2400,-235.3716
7,3200,-212.0323
9,4000,-212.7854
11,4800,-252.6845
13,5600,-231.4936
15,6400,-200.6473
17,7200,-213.4739
19,8000,-205.7643
21,8800,-205.7516
23,9600,-213.4934
25,10400,-216.2047
27,11200,-235.8452
29,12000,-223.6372
31,12800,-206.9296
33,13600,-212.0902
35,14400,-221.1127
37,15200,-205.4342
39,16000,-205.7143
41,16800,-195.9445
43,17600,-207.798
45,18400,-227.1756
47,19200,-208.7008
49,20000,-214.7953
51,20800,-225.2763
53,21600,-240.7863
55,22400,-220.537
57,23200,-226.4971
59,24000,-215.4848
61,24800,-207.8994
63,25600,-220.8417
65,26400,-222.1054
67,27200,-213.1288
69,28000,-222.2859
71,28800,-221.1506
73,29600,-230.0217
75,30400,-217.096
77,31200,-232.0869
79,32000,-213.6956
81,32800,-210.2063
83,33600,-227.0466
85,34400,-226.144
87,35200,-212.6746
89,36000,-221.5644
91,36800,-213.5273
93,37600,-217.9399
95,38400,-227.2671
97,39200,-209.8553
99,40000,-218.7461
101,40800,-206.6311
103,41600,-216.0319
105,42400,-214.9471
107,43200,-234.809
109,44000,-227.0913
111,44800,-213.5251
113,45600,-208.3086
115,46400,-221.9512
117,47200,-220.3286
119,48000,-238.7622
121,48800,-231.2921
123,49600,-207.0008
125,50400,-229.0049
127,51200,-221.7091
129,52000,-228.2013
131,52800,-235.7645
133,53600,-212.1905
135,54400,-202.7999
137,55200,-226.3335
139,56000,-214.3136
141,56800,-210.8557
143,57600,-213.0195
145,58400,-209.2791
147,59200,-206.9873
149,60000,-207.2945
151,60800,-206.0122
153,61600,-218.3408
155,62400,-208.8328
157,63200,-233.6661
159,64000,-246.394
161,64800,-213.6364
163,65600,-216.7485
165,66400,-207.6424
167,67200,-214.2074
169,68000,-216.2126
171,68800,-220.3684
173,69600,-221.0863
175,70400,-216.9497
177,71200,-242.5793
179,72000,-226.108
181,72800,-233.9378
183,73600,-212.602
185,74400,-236.0038
187,75200,-207.6827
189,76000,-211.3557
191,76800,-211.4199
193,77600,-229.7524
195,78400,-209.028
197,79200,-222.5547
199,80000,-219.1174
201,80800,-228.2455
203,81600,-208.7898
205,82400,-216.6543
207,83200,-212.9835
209,84000,-237.5302
211,84800,-211.2049
213,85600,-206.2151
215,86400,-211.7541
217,87200,-222.7824
219,88000,-226.6483
221,88800,-216.8585
223,89600,-216.1722
225,90400,-225.4158
227,91200,-215.0348
229,92000,-222.3717
231,92800,-214.761
233,93600,-225.663
235,94400,-202.7008
237,95200,-199.4244
239,96000,-208.9872
241,96800,-208.7094
243,97600,-209.0225
245,98400,-207.2187
247,99200,-218.5035
249,100000,-230.7648
